entity_type,entity_code,decision,reviewed_by,reviewed_at,review_notes,evidence_summary,source_references
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-9B041FBA|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-9FA443C7|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-AEBD6FC6|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-DA0A87CC|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-553DFEE6|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-E5A934CA|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-E66D8FAF|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-6DD71513|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-D82A5A70|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-38CDFCC2|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-FC872E3D|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-E13154B7|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-F7DA1A32|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-D9D89D38|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-63D33878|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-D78AC5BE|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-0B37E863|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-0279C024|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-EE13CF61|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-A176B1E7|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-BC270433|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-6F647F1B|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-1A411F9F|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-7D48A604|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-B7A8AF32|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-FB54B8DC|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-0FBF48C0|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-E470E871|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-BAE16BC2|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-F2A5DD0B|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-AD5134A1|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-867C2031|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-FB03F0F4|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-E83CC35C|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-40628FD9|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-22EDA541|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-546EEF69|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-D5750072|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-C5376691|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-79886E47|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-AD78C101|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-021C61CC|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-F6FC5E79|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-3E5ACE59|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-408380BB|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-D5CBD41C|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-6D5479C0|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-9751A58B|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-6FDB5F63|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-DB34AB73|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-7E23F03D|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-8C767E60|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-CDC234AF|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-253B51AB|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-E66D8FAF|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-0E1D5981|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-D82A5A70|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-012|CPX-SKL-AUTO-9A57A331|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-189AD04A|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-69338A4B|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-D734993E|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-335B2ED6|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-02EE932D|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-371E7D5A|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-C25F13D2|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-0279C024|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-174310DB|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-E7E96E1F|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-3E770F62|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-2E8E16D6|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-959DB502|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-67BD8C74|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-1D4E2E34|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-479F8458|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-8AE6A31F|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-6F647F1B|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-3951517D|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-4E8960AB|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-33359F29|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-B7A8AF32|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-9B234D72|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-0FBF48C0|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-D0001062|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-237DB4BB|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-FAA6CE4C|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-0ACD7FB4|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-A3003D10|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-CFC81E0F|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-550464DF|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-E85FC060|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-33D28B04|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-07F149B8|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-1324BECE|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-D2F19421|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-45BD37E4|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-052B962E|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-D7F587B8|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-D58496D9|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-AF950849|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-884F43ED|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-DD9D7F4C|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-6FB1597E|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-B96852D1|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-45AD02AB|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-8C767E60|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-A3A7AAD2|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-83CB120A|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-53198C86|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-4A664C7B|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-183D026F|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-27ED98BB|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-8018132A|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-B710833B|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-D82A5A70|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-014|CPX-SKL-AUTO-6B3BE3A8|desirable,deferred,,,,,
