occupation_code,skill_code,source_id,source_record_id,requirement_type,required_level,minimum_level,importance_weight,evidence_required,verification_status,review_status,reviewed_by,reviewed_at,review_notes,taxonomy_version
CPX-OCC-ENG-004,CPX-SKL-AUTO-553DFEE6,esco,http://data.europa.eu/esco/occupation/1bdb7d70-1769-4338-aa90-d25a90fe8a6d:http://data.europa.eu/esco/skill/e02faa7a-9277-4340-aeda-e35bf138320e:optional,desirable,3,,0.5,true,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-004,CPX-SKL-AUTO-E5A934CA,esco,http://data.europa.eu/esco/occupation/1bdb7d70-1769-4338-aa90-d25a90fe8a6d:http://data.europa.eu/esco/skill/e541c69c-ea80-4b17-87cb-4001d0b9d303:essential,essential,3,,0.5,true,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-004,CPX-SKL-AUTO-E66D8FAF,esco,http://data.europa.eu/esco/occupation/1bdb7d70-1769-4338-aa90-d25a90fe8a6d:http://data.europa.eu/esco/skill/e95058a6-e139-42e7-a470-72038a606649:optional,desirable,3,,0.5,true,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-004,CPX-SKL-AUTO-6DD71513,esco,http://data.europa.eu/esco/occupation/1bdb7d70-1769-4338-aa90-d25a90fe8a6d:http://data.europa.eu/esco/skill/ed1d2fed-92c4-47d6-9d6d-34d501c55572:optional,desirable,3,,0.5,true,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-004,CPX-SKL-AUTO-D82A5A70,esco,http://data.europa.eu/esco/occupation/1bdb7d70-1769-4338-aa90-d25a90fe8a6d:http://data.europa.eu/esco/skill/f54c10e4-630d-4e50-95e9-4e9e268e8f12:essential,essential,3,,0.5,true,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-004,CPX-SKL-AUTO-38CDFCC2,esco,http://data.europa.eu/esco/occupation/1bdb7d70-1769-4338-aa90-d25a90fe8a6d:http://data.europa.eu/esco/skill/f82b05a7-128b-4a72-a815-044ff6062f62:optional,desirable,3,,0.5,true,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-004,CPX-SKL-AUTO-FC872E3D,esco,http://data.europa.eu/esco/occupation/1bdb7d70-1769-4338-aa90-d25a90fe8a6d:http://data.europa.eu/esco/skill/faa8e4f3-40fd-4fb7-bf3e-fb8eb639fb33:optional,desirable,3,,0.5,true,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-006,CPX-SKL-AUTO-F4DBDF24,esco,http://data.europa.eu/esco/occupation/3f3748a7-4bb3-40b4-9ae3-1c5040c70f52:http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2:essential,essential,3,,0.5,true,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-006,CPX-SKL-AUTO-D2071E24,esco,http://data.europa.eu/esco/occupation/3f3748a7-4bb3-40b4-9ae3-1c5040c70f52:http://data.europa.eu/esco/skill/0520d8ba-3c24-4f75-a8b0-f883ddeed82d:essential,essential,3,,0.5,true,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-006,CPX-SKL-AUTO-1F9A12CD,esco,http://data.europa.eu/esco/occupation/3f3748a7-4bb3-40b4-9ae3-1c5040c70f52:http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d:essential,essential,3,,0.5,true,source_mapped,not_reviewed,,,,2026.1
