skill_code,alias,normalised_alias,language_code,country_code,industry_context,source_id,source_record_id,source_name,confidence,verification_status,review_status,reviewed_by,reviewed_at,review_notes,taxonomy_version
CPX-SKL-AUTO-9064FEF8,Act!,act,en,US,tool,onet,onet/skills.csv:306,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-7FB626F5,ACT! Premium,act premium,en,US,tool,onet,onet/skills.csv:322,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-14505B4A,Actano Rplan,actano rplan,en,US,tool,onet,onet/skills.csv:226,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-8216034E,Actimize Brokerage Compliance Solutions,actimize brokerage compliance solutions,en,US,tool,onet,onet/skills.csv:327,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-4E7AB23B,ActionWare,actionware,en,US,tool,onet,onet/skills.csv:261,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-CA4D7BCC,Active directory software,active directory software,en,US,tool,onet,onet/skills.csv:229,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-9FAC0B50,Active Learning,active learning,en,US,technical,onet,onet/skills.csv:79,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-24F77E32,Active Listening,active listening,en,US,technical,onet,onet/skills.csv:72,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-F4E3C8E4,Actuate BIRT,actuate birt,en,US,tool,onet,onet/skills.csv:187,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-B6AB82A3,Actuate Eclipse BIRT,actuate eclipse birt,en,US,tool,onet,onet/skills.csv:181,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-DBD10ADB,Ada,ada,en,US,tool,onet,onet/skills.csv:318,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-0E1D5981,adapt energy distribution schedules,adapt energy distribution schedules,en,EU,transferable,esco,http://data.europa.eu/esco/skill/f191c306-f0eb-4cb8-82fb-3331adbbc6f1,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-0EC9F61C,Adaptive conjoint analysis ACA software,adaptive conjoint analysis aca software,en,US,tool,onet,onet/skills.csv:406,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-37EC3357,Adaptive Metadata Manager,adaptive metadata manager,en,US,tool,onet,onet/skills.csv:248,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-54DD00B8,address problems critically,address problems critically,en,EU,transferable,esco,http://data.europa.eu/esco/skill/b9f16465-56a9-426b-a047-0f9f1f95ec92,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-D4C8A993,Adept Scientific GRAMS,adept scientific grams,en,US,tool,onet,onet/skills.csv:407,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-9F8679E4,Adeptia ETL Suite,adeptia etl suite,en,US,tool,onet,onet/skills.csv:385,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-80515BE9,Adexa eGPS Suite,adexa egps suite,en,US,tool,onet,onet/skills.csv:285,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-ECF7F63F,Adexa Supply Chain Planning,adexa supply chain planning,en,US,tool,onet,onet/skills.csv:201,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-010E3D29,adhere to organisational guidelines,adhere to organisational guidelines,en,EU,transferable,esco,http://data.europa.eu/esco/skill/aa238394-8126-4ada-be2f-9dfe065cf314,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-6F647F1B,adjust engineering designs,adjust engineering designs,en,EU,transferable,esco,http://data.europa.eu/esco/skill/42b23922-1c40-4dbe-9e0c-7a568dfdf06b,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-8F3B6753,adjust surveying equipment,adjust surveying equipment,en,EU,transferable,esco,http://data.europa.eu/esco/skill/bb0069d2-0953-43d4-923b-18ad370bc2f3,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-A61DD5AC,Adlib Express,adlib express,en,US,tool,onet,onet/skills.csv:329,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-C3115E1E,Administration and Management,administration and management,en,US,domain_knowledge,onet,onet/skills.csv:115,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-5A3F6FDF,Administrative,administrative,en,US,domain_knowledge,onet,onet/skills.csv:116,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-5268705C,ADO.NET,ado.net,en,US,tool,onet,onet/skills.csv:264,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-78AFBA64,Adobe Acrobat,adobe acrobat,en,US,tool,onet,onet/skills.csv:336,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-3BFF5F37,Adobe Acrobat Pro Extended,adobe acrobat pro extended,en,US,tool,onet,onet/skills.csv:301,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-6731604A,Adobe Acrobat Reader,adobe acrobat reader,en,US,tool,onet,onet/skills.csv:231,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-BB3FEAB2,Adobe ActionScript,adobe actionscript,en,US,tool,onet,onet/skills.csv:164,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-9155F52E,Adobe After Effects,adobe after effects,en,US,tool,onet,onet/skills.csv:302,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-47D615F6,Adobe AIR,adobe air,en,US,tool,onet,onet/skills.csv:253,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-65CFECFD,Adobe Audition,adobe audition,en,US,tool,onet,onet/skills.csv:325,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-7AD032F8,Adobe ColdFusion,adobe coldfusion,en,US,tool,onet,onet/skills.csv:339,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-9BB9BA8A,Adobe Creative Cloud software,adobe creative cloud software,en,US,tool,onet,onet/skills.csv:161,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-E566691A,Adobe Distiller,adobe distiller,en,US,tool,onet,onet/skills.csv:312,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-F9461521,Adobe Dreamweaver,adobe dreamweaver,en,US,tool,onet,onet/skills.csv:274,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-769CA215,Adobe Experience Manager (AEM),adobe experience manager aem,en,US,tool,onet,onet/skills.csv:314,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-C9FEFCA6,Adobe Flex,adobe flex,en,US,tool,onet,onet/skills.csv:356,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-4702B189,Adobe Illustrator,adobe illustrator,en,US,tool,onet,onet/skills.csv:219,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-2F6D5311,Adobe InDesign,adobe indesign,en,US,tool,onet,onet/skills.csv:284,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-C2CD85FB,Adobe LifeCycle ES,adobe lifecycle es,en,US,tool,onet,onet/skills.csv:280,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-299A329B,Adobe PageMaker,adobe pagemaker,en,US,tool,onet,onet/skills.csv:395,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-9F1A0CDE,Adobe Photoshop,adobe photoshop,en,US,tool,onet,onet/skills.csv:156,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-BE6DE825,ADP Enterprise HR,adp enterprise hr,en,US,tool,onet,onet/skills.csv:194,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-4DC4C2BE,ADP Workforce Now,adp workforce now,en,US,tool,onet,onet/skills.csv:401,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-702A4388,Advanced boolean expression language ABEL,advanced boolean expression language abel,en,US,tool,onet,onet/skills.csv:244,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-1B7A43FB,Advanced business application programming ABAP,advanced business application programming abap,en,US,tool,onet,onet/skills.csv:398,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-A808E37D,Advanced Dimensional Management 3D-GD&T,advanced dimensional management 3d-gd and t,en,US,tool,onet,onet/skills.csv:324,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-6294BC9A,Advanced numerical software,advanced numerical software,en,US,tool,onet,onet/skills.csv:358,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-14AFF5E6,Advanced Portfolio Technologies Report Builder,advanced portfolio technologies report builder,en,US,tool,onet,onet/skills.csv:172,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-AABAD769,Advanced Portfolio Technologies Simulator,advanced portfolio technologies simulator,en,US,tool,onet,onet/skills.csv:212,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-4083B082,Advanced Veterinary Services Ranch Vision,advanced veterinary services ranch vision,en,US,tool,onet,onet/skills.csv:221,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-0FFF9E3F,Advantos Systems DataTrust Enterprise,advantos systems datatrust enterprise,en,US,tool,onet,onet/skills.csv:193,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-47BCBF08,advise architects,advise architects,en,EU,transferable,esco,http://data.europa.eu/esco/skill/d329b1ed-6e7a-400e-bca2-7c1936fbfbcb,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-296147A6,advise land owners of bridge inspection,advise land owners of bridge inspection,en,EU,transferable,esco,http://data.europa.eu/esco/skill/172112b9-1cf8-4b7c-818b-06f0205e52b3,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-97CA9C90,advise on architectural matters,advise on architectural matters,en,EU,transferable,esco,http://data.europa.eu/esco/skill/910b818b-bc24-4d17-844e-941a8bc997a9,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-32EA871F,advise on bridge replacement,advise on bridge replacement,en,EU,transferable,esco,http://data.europa.eu/esco/skill/3bc2f41c-fd12-4e01-b60f-4b257fe6a7f0,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-3303E435,advise on building matters,advise on building matters,en,EU,transferable,esco,http://data.europa.eu/esco/skill/3b64ab47-a874-403a-b781-7b23c2fc3c6c,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-8A8352EA,advise on construction materials,advise on construction materials,en,EU,transferable,esco,http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-0128A4B5,advise on environmental remediation,advise on environmental remediation,en,EU,transferable,esco,http://data.europa.eu/esco/skill/b422efe7-b151-4120-86ae-db11a48dd0fa,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-6DD71513,advise on geology for mineral extraction,advise on geology for mineral extraction,en,EU,transferable,esco,http://data.europa.eu/esco/skill/ed1d2fed-92c4-47d6-9d6d-34d501c55572,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-C5376691,advise on heating systems energy efficiency,advise on heating systems energy efficiency,en,EU,transferable,esco,http://data.europa.eu/esco/skill/8614b988-b907-473e-a701-47b525959dc8,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-5F843E05,advise on irrigation projects,advise on irrigation projects,en,EU,transferable,esco,http://data.europa.eu/esco/skill/5b8d63ff-a58b-4331-a53b-b1925acae4dc,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-323AAC84,advise on mine equipment,advise on mine equipment,en,EU,transferable,esco,http://data.europa.eu/esco/skill/f4482d36-86d0-422d-aeb2-59d1bbebb6ff,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-925BE284,advise on pollution prevention,advise on pollution prevention,en,EU,transferable,esco,http://data.europa.eu/esco/skill/4d032f82-6279-48e6-9892-116440a071e3,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-520A0747,advise on site selection,advise on site selection,en,EU,transferable,esco,http://data.europa.eu/esco/skill/9e4dc918-cc74-432e-9b39-53b1b606748a,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-3FE65072,advise on soil and water protection,advise on soil and water protection,en,EU,transferable,esco,http://data.europa.eu/esco/skill/3e25fd3e-2bcd-4320-9587-0aadf7fb93b1,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-B1EF8FE9,advise on use of land,advise on use of land,en,EU,transferable,esco,http://data.europa.eu/esco/skill/8b46636e-e201-4086-a8d5-049b65eaf40e,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-38CDFCC2,advise on waste management procedures,advise on waste management procedures,en,EU,transferable,esco,http://data.europa.eu/esco/skill/f82b05a7-128b-4a72-a815-044ff6062f62,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-0BBB8BC2,AEC Software FastTrack Schedule,aec software fasttrack schedule,en,US,tool,onet,onet/skills.csv:279,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-D9FE7820,AeroHydro MultiSurf,aerohydro multisurf,en,US,tool,onet,onet/skills.csv:384,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-D6769A8D,Ag Connections Land.db,ag connections land.db,en,US,tool,onet,onet/skills.csv:287,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-310683A7,Agile Product Lifecyle Management PLM,agile product lifecyle management plm,en,US,tool,onet,onet/skills.csv:371,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-60BF5C1D,Agilent ChemStation,agilent chemstation,en,US,tool,onet,onet/skills.csv:292,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-65D79D0F,Agiliance Compliance Manager,agiliance compliance manager,en,US,tool,onet,onet/skills.csv:178,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-9C3F9224,Air dispersion modeling software,air dispersion modeling software,en,US,tool,onet,onet/skills.csv:228,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-902FF101,air traffic management,air traffic management,en,EU,domain_knowledge,esco,http://data.europa.eu/esco/skill/34330a42-eeb0-44c3-a41e-670e9b20c7c7,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
