occupation_code,alias,normalised_alias,alias_type,country_code,industry_context,language_code,source_id,source_record_id,source_name,confidence,verification_status,review_status,reviewed_by,reviewed_at,review_notes,taxonomy_version
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4js,UK Standard Occupational Classification 2020,0.1633,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Civil engineers,en,uk-soc,uk-soc:b4jt,UK Standard Occupational Classification 2020,0.1764,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4ju,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4jv,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4jw,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4jx,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Electrical engineers,en,uk-soc,uk-soc:b4jy,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Electronics engineers,en,uk-soc,uk-soc:b4jz,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Environment professionals,en,uk-soc,uk-soc:b4ka,UK Standard Occupational Classification 2020,0.1644,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4kb,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4kc,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Biochemists and biomedical scientists,en,uk-soc,uk-soc:b4kd,UK Standard Occupational Classification 2020,0.165,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Physical scientists,en,uk-soc,uk-soc:b4ke,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4kf,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4kg,UK Standard Occupational Classification 2020,0.1633,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Civil engineers,en,uk-soc,uk-soc:b4kh,UK Standard Occupational Classification 2020,0.1665,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Civil engineers,en,uk-soc,uk-soc:b4ki,UK Standard Occupational Classification 2020,0.1665,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4kj,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Mechanical engineers,en,uk-soc,uk-soc:b4kk,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
